6;  Тон описательный -- так шутит новичок:
13;  Или почтительно-умильный;
17;  Любезный: Сударь любит птичек?
28;  Зато легко повеситься на носе!
1;  А я бы о таком, заметьте,
19;  Ехидный: Это что? Крючок для шляп? Удобный!
9;  Развязный тон, каким острят друзья:
27;  Вам нелегко повесить нос,
2;  О выдающемся предмете
12;  Позвольте подарить вам чашу?
10;  Вам из стакана пить нельзя --
15;  Давно владеете? Наивный: С дальних мест
3;  Острот набрал бы целые тома,
0;Да. Он крупней, чем красноречье ваше,
8;  Который вырос между ваших щек?
20;  Платить не надо в гардеробной!
25;  Доброжелательный: В пылу житейских гроз,
22;  Вы заказали зонтичек ему?
26;  Фиаско потерпев в каком-нибудь вопросе,
18;  Он приготовил им вместительный насест!
16;  Вы этот монумент везли для дам столичных?
29;  Язвительный, чуть в сторону и косо
11;  Побьет ваш нос посуду вашу!
24;  Вам одному?
4;  Меняя жесты и тона...
14;  Вы этой башнею фамильной
7;  Как называете вы этот полуостров,
5;  Вот, например, из не особо острых --
21;  Тон нежный: Боже мой! От дождичка и ветра
23;  Тон удивленный: Извините, это --
